seller_id,total_orders,avg_delivery,late_rate,avg_review,avg_price,high_late_rate,low_review_score,slow_delivery,is_flagged
138dbe45fc62f1e244378131a6801526,58,5.879310344827586,0.034482758620689655,3.9827586206896552,20.304137931034482,0,0,0,0
13d058e4eeac2ce8217660b2f8a05812,22,10.818181818181818,0.13636363636363635,4.181818181818182,169.99,0,0,0,0
13f57c12a00ed4610db646b913a7f5c6,13,12.307692307692308,0.15384615384615385,4.769230769230769,49.63076923076923,0,0,0,0
13fa2a6c6b9d0f43cb588d7c82117a12,10,20.0,0.3,4.0,452.8,1,0,0,1
141440cad9341e553f8401c574a2aa38,12,6.5,0.0,4.166666666666667,107.35000000000001,0,0,0,0
1430239a858e7682bbc43b20758af153,22,6.863636363636363,0.0,4.0,28.81772727272727,0,0,0,0
1464afc72f696af775557a821c2e253f,30,10.6,0.03333333333333333,4.166666666666667,35.312,0,0,0,0
14a08204d03bb6b6bde8029f801ae0eb,38,8.263157894736842,0.0,3.8157894736842106,57.60236842105263,0,0,0,0
14d7985702e72162bbf13b6beb74ab2b,38,10.236842105263158,0.13157894736842105,4.342105263157895,102.28947368421052,0,0,0,0
1554a68530182680ad5c8b042c3ab563,267,13.101123595505618,0.07116104868913857,4.269662921348314,108.53797752808988,0,0,0,0
157c3e4b42f81ac4a44e8b1ca2fe9876,31,9.935483870967742,0.06451612903225806,3.967741935483871,82.43483870967742,0,0,0,0
15aac934c58d886785ac1b17953ea898,26,15.0,0.15384615384615385,4.115384615384615,163.5730769230769,0,0,0,0
15cd6eefe58588619aaed41dfa6621b1,18,13.944444444444445,0.05555555555555555,4.333333333333333,90.15222222222222,0,0,0,0
16090f2ca825584b5a147ab24aa30c86,406,8.519704433497537,0.10837438423645321,4.078817733990148,61.59401477832512,0,0,0,0
165b1235e9e9942cb5fae67103576fb0,16,6.8125,0.0625,4.3125,130.321875,0,0,0,0
165fc07beebdcb6190fba8a06db2a449,64,13.1875,0.125,3.6875,266.8546875,0,0,0,0
1660ad786c27fd935378b6192a90b417,13,8.538461538461538,0.07692307692307693,4.615384615384615,120.76923076923077,0,0,0,0
1690cada046eb7e92c12f98b1f8a8167,10,6.8,0.1,4.9,176.0,0,0,0,0
17306570e772e7718c92a562d33f5f1d,30,13.5,0.06666666666666667,3.7666666666666666,288.0,0,0,0,0
1771297ac436903d1dd6b0e9279aa505,36,8.972222222222221,0.027777777777777776,4.638888888888889,80.03527777777778,0,0,0,0
1782ce2db72c3dda627d5e7c898104e1,10,14.2,0.1,4.3,201.07999999999998,0,0,0,0
17908cf9b444ee34047cadd5c0f4a516,11,18.0,0.09090909090909091,4.545454545454546,181.2718181818182,0,0,0,0
179d859f51292aac5c10806a356f7af9,19,8.789473684210526,0.15789473684210525,4.315789473684211,21.287894736842105,0,0,0,0
17a053fcb14bd219540cbde0df490be0,148,11.33108108108108,0.08108108108108109,4.236486486486487,272.657027027027,0,0,0,0
17ca9b9e9b9ef8fdb529001b49ebb50f,128,7.6015625,0.0234375,4.03125,75.38953125,0,0,0,0
17e34d8224d27a541263c4c64b11a56b,260,13.426923076923076,0.08076923076923077,4.207692307692308,189.65769230769232,0,0,0,0
17f51e7198701186712e53a39c564617,61,22.081967213114755,0.08196721311475409,4.344262295081967,746.0327868852459,0,0,1,1
180c3376aff0e43dd5788709df48a843,10,15.6,0.1,4.7,304.0,0,0,0,0
1835b56ce799e6a4dc4eddc053f04066,551,12.212341197822141,0.10526315789473684,3.635208711433757,59.90076225045372,0,0,0,0
1838dd9b8977065acf51d95e0053ea7a,65,12.138461538461538,0.046153846153846156,4.338461538461538,42.315384615384616,0,0,0,0
184a67a8f9f63234d3a92340bbdb727f,10,15.9,0.0,3.9,24.628999999999998,0,0,0,0
18a349e75d307f4b4cc646a691ed4216,128,10.46875,0.0546875,3.53125,58.139609375,0,0,0,0
18e694e0e48ed6f7aa3f24aade5fd697,34,5.470588235294118,0.029411764705882353,4.676470588235294,20.697647058823527,0,0,0,0
1900267e848ceeba8fa32d80c1a5f5a8,523,12.32887189292543,0.0994263862332696,3.891013384321224,47.12728489483747,0,0,0,0
1987cd4be10fe09ee50454f9c354d1c6,16,15.3125,0.0625,4.25,179.85625,0,0,0,0
198c7ea11960a9844b544d9bcdca860c,25,14.0,0.12,3.88,69.35000000000001,0,0,0,0
1a3df491d1c4f1589fc2b934ada68bf2,171,14.526315789473685,0.05263157894736842,4.245614035087719,131.41754385964913,0,0,0,0
1a932caad4f9d804097d7f8e615baed1,30,8.466666666666667,0.13333333333333333,3.566666666666667,155.36666666666667,0,0,0,0
1acde099eb406aa220b1169b188b42da,10,11.8,0.0,4.3,31.109999999999996,0,0,0,0
1b1ae47a313a825a7ccceb8e2e30fa9d,10,10.1,0.0,4.3,218.4,0,0,0,0
1b4c3a6f53068f0b6944d2d005c9fc89,115,13.591304347826087,0.06086956521739131,4.147826086956521,125.39565217391305,0,0,0,0
1b7e5006cb25dd23ce8686691013b121,11,15.090909090909092,0.18181818181818182,4.363636363636363,239.70363636363635,0,0,0,0
1b8356dabde1d35e17cef975c3f82730,60,9.7,0.016666666666666666,4.133333333333334,56.10666666666667,0,0,0,0
1b8b75e227c9a9c100d0c210fb6176ce,15,14.466666666666667,0.06666666666666667,3.933333333333333,96.32466666666667,0,0,0,0
1b938a7ec6ac5061a66a3766e0e75f90,31,10.96774193548387,0.03225806451612903,4.451612903225806,124.50967741935484,0,0,0,0
1bb2bdb95f4841f1bba2c0d2cd83d3c9,83,11.891566265060241,0.07228915662650602,4.578313253012048,59.106024096385546,0,0,0,0
1c129092bf23f28a5930387c980c0dfc,219,11.127853881278538,0.0502283105022831,4.187214611872146,43.5096803652968,0,0,0,0
1c40343cc5d18c2d8248ac2f3366de34,22,6.863636363636363,0.09090909090909091,4.545454545454546,111.88227272727272,0,0,0,0
1c5e4e49b9079480255b49d50aac1aa9,12,8.333333333333334,0.0,4.333333333333333,658.7591666666666,0,0,0,0
1c68394e931a64f90ea236c5ea590300,171,14.90643274853801,0.03508771929824561,3.9298245614035086,145.22076023391813,0,0,0,0
1ca7077d890b907f89be8c954a02686a,127,14.511811023622048,0.1968503937007874,2.2913385826771653,98.22551181102362,0,1,0,1
1caf283236cd69af44cbc09a0a1e7d32,37,12.891891891891891,0.10810810810810811,4.54054054054054,24.90810810810811,0,0,0,0
1cbd32d00d01bb8087a5eb088612fd9c,12,11.75,0.08333333333333333,4.25,87.1225,0,0,0,0
1ce3ae5a399804d1a87e706f8a813c3e,44,13.340909090909092,0.09090909090909091,3.727272727272727,58.25,0,0,0,0
1d29dfba02015238dfbe2449a5eaa361,12,12.5,0.08333333333333333,4.5,51.06666666666666,0,0,0,0
